transaction_date,factory_id,warehouse_id,quantity
2019-01-01,1,1,69
2019-01-01,1,2,44
2019-01-01,1,3,48
2019-01-01,1,4,36
2019-01-01,1,5,25
2019-01-01,2,1,24
2019-01-01,2,2,5
2019-01-01,2,3,22
2019-01-01,2,4,34
2019-01-01,2,5,14
2019-01-01,3,1,25
2019-01-01,3,2,28
2019-01-01,3,3,47
2019-01-01,3,4,35
2019-01-01,3,5,45
2019-01-01,4,1,5
2019-01-01,4,2,43
2019-01-01,4,3,47
2019-01-01,4,4,12
2019-01-01,4,5,37
2019-01-01,5,1,33
2019-01-01,5,2,14
2019-01-01,5,3,17
2019-01-01,5,4,47
2019-01-01,5,5,45
2019-01-02,1,1,94
2019-01-02,1,2,10
2019-01-02,1,3,48
2019-01-02,1,4,30
2019-01-02,1,5,38
2019-01-02,2,1,37
2019-01-02,2,2,35
2019-01-02,2,3,23
2019-01-02,2,4,39
2019-01-02,2,5,8
2019-01-02,3,1,37
2019-01-02,3,2,45
2019-01-02,3,3,18
2019-01-02,3,4,48
2019-01-02,3,5,24
2019-01-02,4,1,6
2019-01-02,4,2,5
2019-01-02,4,3,23
2019-01-02,4,4,4
2019-01-02,4,5,6
2019-01-02,5,1,43
2019-01-02,5,2,20
2019-01-02,5,3,33
2019-01-02,5,4,24
2019-01-02,5,5,10
2019-01-03,1,1,81
2019-01-03,1,2,22
2019-01-03,1,3,15
2019-01-03,1,4,23
2019-01-03,1,5,24
2019-01-03,2,1,39
2019-01-03,2,2,32
2019-01-03,2,3,10
2019-01-03,2,4,6
2019-01-03,2,5,49
2019-01-03,3,1,15
2019-01-03,3,2,24
2019-01-03,3,3,4
2019-01-03,3,4,7
2019-01-03,3,5,10
2019-01-03,4,1,39
2019-01-03,4,2,11
2019-01-03,4,3,49
2019-01-03,4,4,40
2019-01-03,4,5,3
2019-01-03,5,1,9
2019-01-03,5,2,48
2019-01-03,5,3,10
2019-01-03,5,4,49
2019-01-03,5,5,27
2019-01-04,1,1,89
2019-01-04,1,2,6
2019-01-04,1,3,48
2019-01-04,1,4,30
2019-01-04,1,5,32
2019-01-04,2,1,22
2019-01-04,2,2,46
2019-01-04,2,3,23
2019-01-04,2,4,44
2019-01-04,2,5,17
2019-01-04,3,1,10
2019-01-04,3,2,47
2019-01-04,3,3,20
2019-01-04,3,4,11
2019-01-04,3,5,18
2019-01-04,4,1,49
2019-01-04,4,2,3
2019-01-04,4,3,6
2019-01-04,4,4,32
2019-01-04,4,5,24
2019-01-04,5,1,19
2019-01-04,5,2,41
2019-01-04,5,3,24
2019-01-04,5,4,21
2019-01-04,5,5,2
2019-01-05,1,1,86
2019-01-05,1,2,2
2019-01-05,1,3,36
2019-01-05,1,4,46
2019-01-05,1,5,32
2019-01-05,2,1,25
2019-01-05,2,2,21
2019-01-05,2,3,41
2019-01-05,2,4,3
2019-01-05,2,5,23
2019-01-05,3,1,44
