顧客ID,利用日,トレーニング時間,トレーナー利用
12,2022-05-22,1.7,はい
878,2022-04-19,0.7,はい
841,2022-05-12,1.1,いいえ
574,2022-01-09,1.9,はい
991,2022-02-18,0.8,いいえ
625,2022-09-02,1.2,いいえ
220,2022-01-21,1.1,いいえ
685,2022-06-27,1.1,はい
1,2022-03-31,1.9,いいえ
896,2022-01-25,1.7,いいえ
57,2022-06-12,1.8,はい
46,2022-08-09,0.9,いいえ
814,2022-07-01,1.5,いいえ
90,2022-04-27,0.9,いいえ
489,2022-07-17,0.9,はい
931,2022-08-05,1.0,いいえ
327,2022-12-24,0.5,はい
581,2022-07-25,1.2,はい
580,2022-05-28,1.8,はい
653,2022-03-24,1.3,いいえ
634,2022-11-22,0.9,はい
57,2022-06-23,1.6,いいえ
942,2022-06-15,1.5,いいえ
858,2022-11-18,1.9,はい
802,2022-10-15,1.1,はい
957,2022-04-12,1.4,はい
275,2022-06-21,1.6,いいえ
278,2022-01-14,1.6,はい
196,2022-04-25,1.1,いいえ
481,2022-12-19,0.9,はい
759,2022-05-11,1.8,いいえ
355,2022-05-10,1.4,いいえ
481,2022-08-03,0.7,はい
465,2022-04-06,1.6,いいえ
970,2022-01-01,1.5,いいえ
429,2022-03-07,1.8,はい
631,2022-10-11,0.7,はい
110,2022-03-14,1.8,いいえ
18,2022-02-08,1.6,はい
101,2022-10-29,1.1,はい
290,2022-09-14,0.6,はい
71,2022-10-29,1.4,はい
154,2022-04-19,0.5,はい
657,2022-11-27,1.8,いいえ
523,2022-01-21,1.9,はい
726,2022-01-12,2.0,いいえ
403,2022-02-19,1.3,いいえ
31,2022-06-27,0.8,はい
882,2022-04-17,1.3,はい
715,2022-09-27,1.0,はい
185,2022-01-22,1.0,はい
637,2022-04-03,1.3,いいえ
738,2022-08-28,1.9,いいえ
66,2022-10-24,0.7,いいえ
338,2022-04-02,1.4,はい
738,2022-03-08,1.8,いいえ
120,2022-04-17,0.9,いいえ
631,2022-12-06,1.6,いいえ
955,2022-05-26,1.2,はい
179,2022-05-06,1.0,はい
230,2022-01-19,1.0,はい
741,2022-03-17,1.7,はい
93,2022-06-08,1.1,いいえ
659,2022-12-18,1.1,いいえ
94,2022-02-21,1.4,いいえ
350,2022-09-26,0.5,いいえ
